REFCODE,SCP,LCD,PLD,Va,Density,ASA,VF,KH311,300,305,310,315,320,325,330,335,340,345,350,353,adsH,dW
CAYKEU_clean.cif,7.577594552,6.71782,5.31318,0.173933,1.65926,611.864,0.489682,13.71683772,-8.435333936,-9.034328029,-8.086716098,-7.756961951,-8.27083521,-8.370590401,-8.510041521,-8.450996738,-8.669586227,-8.605548319,-8.386158178,-8.295849483,84.84993995,0.011731368
IKETEY_clean.cif,5.713492618,5.50377,4.23256,0.24051,1.61573,792.137,0.479534,9.352182518,-9.072629637,-8.735182177,-9.045757491,-8.155522824,-9.294136288,-8.630784143,-7.787812396,-9.084600165,-8.777283529,-9.329754147,-9.000869459,-8.197226275,81.87732289,0.020953846
IKETAU_clean.cif,17.89785046,5.59454,4.30775,0.254971,1.55077,867.098,0.49674,7.896526217,-8.829738285,-10.07314329,-8.233587153,-9.716698771,-9.192464972,-8.962573502,-8.835647144,-9.322393047,-8.853871964,-9.034798299,-8.716698771,-9.290730039,75.48077311,0.023543275
TARVOX_clean.cif,6.047085304,4.77838,4.31054,0.11322,1.56156,365.559,0.273487,-0.020761296,-7.698970004,-9.259637311,-9.351639989,-8.698970004,-9.176525771,-6.850780887,-9.493494968,-8.88941029,-8.175874166,-7.253365801,-10.1713401,-7.632644079,71.85586759,0.012109176
TARVUD_clean.cif,2.573782049,5.49785,5.00338,0.132157,1.5754,444.738,0.278078,-0.003085304,-7.752026734,-7.785156152,-7.025488307,-8.847711656,-9.089909454,-8.931814138,-8.107905397,-9.025488307,-7.709965389,-8.21395879,-9.447331784,-7.364516253,69.97216037,0.025786897
BORBEQ_clean.cif,4.300645479,6.03525,3.55595,0.250312,1.10262,896.895,0.432615,0.445711596,-8.054531415,-6.798602876,-8.097453221,-7.612610174,-7.730487056,-7.913640169,-7.46470588,-7.605548319,-8.732828272,-7.642065153,-7.671620397,-6.863279433,69.69932655,0.009606519
REZVAU_clean.cif,3.976209785,5.00399,4.52618,0.238347,1.10092,950.8,0.484411,2.443234816,-7.177831921,-7.46470588,-8.036684489,-7.829738285,-8.318758763,-7.809668302,-7.632644079,-8.108462542,-7.351639989,-7.987162775,-9.987162775,-7.625251654,68.9995003,0.020563836
CETFUD_clean.cif,10.01594904,4.78644,4.1075,0.175867,1.42835,604.677,0.386447,4.560795838,-9.476253533,-9.118615343,-8.709965389,-6.332547047,-8.821023053,-9.2069084,-8.518557371,-7.987162775,-9.187086643,-7.906578315,-9.663540266,-8.692503962,68.3504972,0.017344754
UBIPAY_clean.cif,6.107368657,4.5018,3.9606,0.191885,1.21218,671.192,0.39326,1.245547213,-9.353596274,-7.966576245,-9.876148359,-9.872895202,-8.598599459,-7.735182177,-9.653647026,-6.818156412,-9.15864053,-9.598599459,-10.48148606,-8.22475374,67.62286092,0.019584106
LEVNOQ01_clean.cif,14.54390268,5.70844,3.41848,0.293924,0.975082,988.75,0.533943,6.10720997,-7.610833916,-8.201349355,-8.248720896,-6.42365865,-7.850780887,-7.655607726,-8.769551079,-8.09420412,-8.2915791,-8.133122186,-7.370590401,-7.021363052,67.40342768,0.025839444
NOCLUN_clean.cif,34.6328829,6.13012,5.58969,0.376764,1.07441,1317.3,0.587394,1.850565372,-7.935542011,-8.602059991,-7.612610174,-8.565431096,-8.030118356,-8.484126156,-7.752026734,-8.36251027,-7.924453039,-8.739928612,-8.793174124,-8.970616222,66.56442517,0.083416109
EBEMOO.cif,1.613459159,4.87658,3.49315,0.075745,1.59218,238.138,0.233338,-0.637747551,-7.675717545,-8.946921557,-8.296708622,-8.759450752,-7.705533774,-8.539102157,-9.187755303,-8.403402904,-8.324221658,-8.191789027,-8.262012674,-8.318758763,66.46587325,0.004088238
MOF-70.cif,17.90126745,4.97643,4.25757,0.205517,1.68648,724.519,0.582064,0.099690998,-9.035269079,-8.261219442,-7.931814138,-7.899629455,-8.640164518,-8.590066877,-7.982966661,-8.991399828,-9.153662888,-7.962573502,-8.772113295,-8.630784143,66.44112571,0.027017471
FUTZOK_clean.cif,5.867836769,4.62419,3.87816,0.160348,1.63519,509.327,0.429669,8.63447727,-9.694648631,-9.19859629,-7.714442691,-9.12090412,-8.146301788,-9.337242168,-9.074172425,-8.806875402,-9.132532512,-9.053056729,-9.158015195,-7.844663963,66.25701338,0.012979066
